X,Y,fid,xyz_id,ADD,NAME,@ns:com:here:xyz,icon_url
121.7242637,24.6696631,"1",Obf3LfYDWf,宜蘭縣 三星鄉 三星路1段211號,朝順機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.651767,24.6659191,"2",cCBR6Y8TaH,宜蘭縣 三星鄉 三星路五段39號,泉興機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7687721,24.698077,"3",J3kWZ1xgf4,宜蘭縣 五結鄉 中正路2段127號1樓,合陽車業,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7990774,24.6850699,"4",YsGWa9K3R0,宜蘭縣 五結鄉 五結路2段331號1樓,元成車業行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7919147,24.6343114,"5",F0iDqekq8L,宜蘭縣 冬山鄉 冬山路159號,大華機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7910939,24.6336045,"6",ZZ1d0rSy4Z,宜蘭縣 冬山鄉 冬山路1段1022號1樓,宏光機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.767927,24.6669313,"7",TSsmWZ9BUy,宜蘭縣 冬山鄉 義誠路3段474號,華盛機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7486556,24.6696269,"8",tEbPJiRaiX,宜蘭縣 冬山鄉 廣興路225號,明慧機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7552016,24.7460203,"9",LV4EUpxSsV,宜蘭縣 宜蘭市 中山路2段97號,利達機車工業行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7539291,24.7624715,"10",aS4YVOwbRz,宜蘭縣 宜蘭市 中山路3段273號,良達機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.754226,24.7632885,"11",rZZGu8AEwx,宜蘭縣 宜蘭市 中山路3段307號,善志企業有限公司,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7562077,24.7687144,"12",tH6I5iqMz2,宜蘭縣 宜蘭市 中山路5段87號1樓,富悅車業有限公司,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7537079,24.7619977,"13",Z0myHwzGGk,宜蘭縣 宜蘭市 中山路三段245號,南僑車業有限公司,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7684509,24.7511142,"14",BgJZpNktpB,宜蘭縣 宜蘭市 東港路13-71號,中東機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7619564,24.7557786,"15",pNQCqjmN5I,宜蘭縣 宜蘭市 東港路64-6號,連升機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7626446,24.7514388,"16",lrQwG1WId9,宜蘭縣 宜蘭市 校舍路31號,正旭機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.737675,24.751336,"17",VT84zm84fR,宜蘭縣 宜蘭市 泰山路240號,元凱機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7497364,24.757675,"18",OqeoqgZF5K,宜蘭縣 宜蘭市 舊城西路10號,立昌機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.716443,24.7305431,"19",ArtK36vUIb,宜蘭縣 員山鄉 員山路1段893號,?鋒機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.820759,24.856837,"20",3LymsRdlxR,宜蘭縣 頭城鎮 吉祥路86號,吉達機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.824952,24.856797,"21",RUVa7qgXXe,宜蘭縣 頭城鎮 青雲路3段142號,協昌機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7698336,24.8187928,"22",QJzP3DiTnZ,宜蘭縣 礁溪鄉 中山路1段140號,福特機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7709577,24.8205319,"23",wZ7qarbx1Q,宜蘭縣 礁溪鄉 中山路1段228號,景祥機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.761446,24.787365,"24",5p9WECj77U,宜蘭縣 礁溪鄉 礁溪路1段149號,駿翔車業,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7596661,24.6764898,"25",NyfrFZ54tS,宜蘭縣 羅東鎮 四育路32號,安盛機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.767077,24.6776876,"26",7WD0xmmZ4D,宜蘭縣 羅東鎮 民生路124號,慶昌機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7773664,24.6790357,"27",kNQ9xeHwHp,宜蘭縣 羅東鎮 光榮路345巷1號,宜蘭縣服務中心,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7716489,24.6747973,"28",neoYYuQ60o,宜蘭縣 羅東鎮 和平路37號,連興機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
121.7703966,24.6836655,"29",0swGC7usa2,宜蘭縣 羅東鎮 興東路260號1樓,佳昌機車行,"{""tags"": [], ""space"": ""5dZludNV"", ""createdAt"": 1534990085060, ""updatedAt"": 1534990085060}",./0.png
